,City,Country,Lat,Lon,MaxTemp,MinTemp,Humidity,Cloudniness,Wind Speed,Current Description
49,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
51,Pokaran,IN,26.9167,71.9167,84.67,84.67,68,99,13.73,overcast clouds
52,Santo Tirso,PT,41.3426,-8.4775,67.46,62.29,83,0,1.32,clear sky
53,Beringovskiy,RU,63.05,179.3167,55.4,55.4,77,100,13.38,overcast clouds
54,Torbay,CA,47.6666,-52.7314,58.26,56.17,95,100,8.05,light intensity drizzle
55,Thompson,CA,55.7435,-97.8558,77.16,77.16,44,75,13.8,broken clouds
56,Qaanaaq,GL,77.484,-69.3632,37.96,37.96,74,100,6.89,overcast clouds
57,Albany,US,42.6001,-73.9662,75.16,68.23,53,2,8.32,clear sky
58,Port Lincoln,AU,-34.7333,135.8667,56.86,56.86,71,34,19.35,scattered clouds
59,Pisco,PE,-13.7,-76.2167,60.85,59.02,82,20,10.36,few clouds
60,São João da Barra,BR,-21.6403,-41.0511,66.94,66.94,77,2,20.49,clear sky
62,Rawson,AR,-43.3002,-65.1023,50.29,50.29,60,20,8.12,few clouds
63,Punta Arenas,CL,-53.15,-70.9167,33.91,33.12,75,75,9.22,broken clouds
64,Bethel,US,41.3712,-73.414,79.63,72.57,69,100,4.52,overcast clouds
65,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
66,Ancud,CL,-41.8697,-73.8203,48.85,48.85,92,100,21.43,moderate rain
67,Najrān,SA,17.4924,44.1277,81.25,81.25,35,100,5.12,overcast clouds
68,Scarborough,GB,54.2797,-0.4044,62.91,55.92,87,0,3.38,clear sky
69,Hithadhoo,MV,-0.6,73.0833,82.22,82.22,73,40,9.71,scattered clouds
70,Launceston,AU,-41.45,147.1667,51.44,47.61,89,100,4.61,light rain
71,Itarema,BR,-2.9248,-39.9167,76.95,76.95,86,69,13.11,broken clouds
72,Valle de Allende,MX,26.9333,-105.4,83.7,83.7,30,25,7.49,scattered clouds
73,Kodinsk,RU,58.6881,99.1844,56.98,56.98,84,0,3.44,clear sky
74,Mataura,NZ,-46.1927,168.8643,44.47,44.47,59,80,4.25,broken clouds
76,Albany,US,42.6001,-73.9662,75.16,68.23,53,2,8.32,clear sky
78,Hermanus,ZA,-34.4187,19.2345,51.8,51.8,88,100,12.71,moderate rain
79,Lincoln,US,40.8,-96.667,93.13,85.8,39,0,10.36,clear sky
80,Butaritari,KI,3.0707,172.7902,82.09,82.09,75,27,13.2,scattered clouds
81,Hofn,IS,64.2539,-15.2082,51.01,51.01,86,71,8.12,moderate rain
82,Saint-Philippe,RE,-21.3585,55.7679,64.22,61.11,84,15,11.01,light rain
83,Albany,US,42.6001,-73.9662,75.16,68.23,53,2,8.32,clear sky
84,Nikolskoye,RU,59.7035,30.7861,64.29,58.78,83,100,6.76,overcast clouds
85,Souillac,MU,-20.5167,57.5167,64.78,64.78,94,40,12.66,light rain
86,Butaritari,KI,3.0707,172.7902,82.09,82.09,75,27,13.2,scattered clouds
87,Nome,US,64.5011,-165.4064,51.87,50.11,82,100,8.05,overcast clouds
88,Assiniboia,CA,49.6334,-105.9845,73.22,73.22,53,82,10.36,broken clouds
89,Port Alfred,ZA,-33.5906,26.891,61.95,61.95,78,100,7.02,overcast clouds
90,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
91,Thompson,CA,55.7435,-97.8558,77.16,77.16,44,75,13.8,broken clouds
92,Steinbach am Taunus,DE,50.1667,8.5667,74.71,61.57,37,0,10.36,clear sky
93,Ulundi,ZA,-28.3352,31.4162,59.11,59.11,54,1,5.64,clear sky
94,Chengde,CN,40.9725,117.9361,73.38,73.38,83,100,1.99,overcast clouds
95,Grand-Santi,GF,4.25,-54.3833,73.11,73.11,95,65,1.23,broken clouds
96,Quatre Cocos,MU,-20.2078,57.7625,69.1,64.51,77,99,19.73,light rain
97,Butaritari,KI,3.0707,172.7902,82.09,82.09,75,27,13.2,scattered clouds
98,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,53.6,82,75,12.66,broken clouds
99,Langsa,ID,4.4683,97.9683,76.84,76.84,93,100,1.36,light rain
100,Saskylakh,RU,71.9167,114.0833,45.14,45.14,61,100,8.55,overcast clouds
101,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
102,Hobart,AU,-42.8794,147.3294,53.26,49.86,77,20,4.61,few clouds
103,Barguzin,RU,53.6167,109.6167,59.77,59.77,81,77,4.43,broken clouds
104,Geraldton,AU,-28.7667,114.6,55.81,55.81,58,0,25.32,clear sky
105,Gifhorn,DE,52.4833,10.55,69.37,60.01,66,0,4.61,clear sky
107,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
108,Ushuaia,AR,-54.8,-68.3,33.46,33.46,93,40,4.61,scattered clouds
109,Yaring,TH,6.8662,101.3689,80.31,80.31,81,100,5.59,heavy intensity rain
110,George Town,MY,5.4112,100.3354,84.88,79.95,91,20,2.3,few clouds
111,Port Lincoln,AU,-34.7333,135.8667,56.86,56.86,71,34,19.35,scattered clouds
112,Chokurdakh,RU,70.6333,147.9167,53.47,53.47,56,73,7.56,broken clouds
113,Morón,AR,-34.6534,-58.6198,58.96,53.29,67,3,7.7,clear sky
114,Ust-Nera,RU,64.5667,143.2,70.68,70.68,51,27,0.29,scattered clouds
116,Sola,VU,-13.8833,167.55,79.47,79.47,69,20,13.8,few clouds
117,Kapaa,US,22.0752,-159.319,84.18,82.11,69,20,17.27,few clouds
118,Magdagachi,RU,53.45,125.8,56.93,56.93,87,100,2.08,overcast clouds
119,Codrington,AU,-38.2667,141.9667,50.67,50.67,83,100,7.96,overcast clouds
120,Nikolskoye,RU,59.7035,30.7861,64.29,58.78,83,100,6.76,overcast clouds
121,Merrill,US,45.1805,-89.6835,73.17,69.75,53,0,0.0,clear sky
122,Nikolskoye,RU,59.7035,30.7861,64.29,58.78,83,100,6.76,overcast clouds
123,Torbay,CA,47.6666,-52.7314,58.26,56.17,95,100,8.05,light intensity drizzle
124,Sitka,US,57.0531,-135.33,67.89,67.89,68,100,5.75,overcast clouds
125,Slobidka,UA,47.8869,29.3461,63.05,63.05,92,100,7.94,light rain
126,Skibbereen,IE,51.55,-9.2667,61.97,61.97,73,0,6.76,clear sky
127,Qingdao,CN,36.0986,120.3719,76.6,76.6,100,100,4.47,heavy intensity rain
128,Warri,NG,5.5167,5.75,74.62,74.62,94,100,3.76,overcast clouds
129,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
130,Chapais,CA,49.7834,-74.8492,49.78,49.78,97,100,8.1,overcast clouds
132,Albany,US,42.6001,-73.9662,75.16,68.23,53,2,8.32,clear sky
133,Cape Town,ZA,-33.9258,18.4232,54.27,51.35,87,75,9.22,moderate rain
134,Gimbi,ET,9.1667,35.8333,54.86,54.86,98,100,1.81,light rain
135,Mehamn,NO,71.0357,27.8492,51.71,49.95,93,100,32.21,drizzle rain
136,Luau,AO,-10.7073,22.2247,61.09,61.09,31,100,5.08,overcast clouds
137,Longyearbyen,SJ,78.2186,15.6401,46.24,46.24,71,75,9.22,broken clouds
138,Dikson,RU,73.5069,80.5464,44.67,44.67,91,91,21.25,overcast clouds
139,Pisco,PE,-13.7,-76.2167,60.85,59.02,82,20,10.36,few clouds
140,Punta Arenas,CL,-53.15,-70.9167,33.91,33.12,75,75,9.22,broken clouds
141,Hilo,US,19.7297,-155.09,91.27,79.61,73,75,12.66,broken clouds
142,Busselton,AU,-33.65,115.3333,53.82,53.82,78,0,15.46,clear sky
143,Port Alfred,ZA,-33.5906,26.891,61.95,61.95,78,100,7.02,overcast clouds
144,Abu Samrah,SY,35.3029,37.1841,72.59,72.59,77,0,10.74,clear sky
145,Bluff,NZ,-46.6,168.3333,44.8,44.8,68,97,10.47,overcast clouds
146,Kaoma,ZM,-14.7833,24.8,54.93,54.93,50,6,5.99,clear sky
147,Punta Arenas,CL,-53.15,-70.9167,33.91,33.12,75,75,9.22,broken clouds
148,Albany,US,42.6001,-73.9662,75.16,68.23,53,2,8.32,clear sky
149,Port Elizabeth,ZA,-33.918,25.5701,57.49,56.1,96,0,9.22,clear sky
150,Laas,IT,46.6166,10.7002,65.28,65.28,91,93,2.82,overcast clouds
151,Busselton,AU,-33.65,115.3333,53.82,53.82,78,0,15.46,clear sky
152,Honiara,SB,-9.4333,159.95,82.78,82.78,76,100,3.94,light rain
153,Jamestown,US,42.097,-79.2353,71.19,65.95,66,0,6.91,clear sky
154,Cape Town,ZA,-33.9258,18.4232,54.27,51.35,87,75,9.22,moderate rain
155,Qasigiannguit,GL,68.8193,-51.1922,41.25,41.25,93,100,1.16,overcast clouds
156,Hamilton,US,39.1834,-84.5333,77.77,70.25,92,100,6.91,thunderstorm
157,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
158,Avarua,CK,-21.2078,-159.775,78.85,78.85,73,75,13.8,broken clouds
159,Laas,IT,46.6166,10.7002,65.28,65.28,91,93,2.82,overcast clouds
160,Makakilo City,US,21.3469,-158.0858,86.32,81.99,53,40,18.41,scattered clouds
161,Bredasdorp,ZA,-34.5322,20.0403,53.1,53.1,78,98,9.22,light rain
163,Banda Aceh,ID,5.5577,95.3222,80.87,80.87,76,98,11.41,overcast clouds
164,San Rafael,AR,-34.6177,-68.3301,53.53,53.53,46,1,6.85,clear sky
165,Katsuura,JP,35.1333,140.3,86.02,86.02,76,6,20.74,clear sky
166,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
167,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
168,Yellowknife,CA,62.456,-114.3525,64.92,64.92,42,40,9.22,scattered clouds
169,San Patricio,US,28.017,-97.5169,92.12,85.84,76,100,6.62,overcast clouds
170,Shirpur,IN,21.35,74.8833,77.81,77.81,87,92,8.95,overcast clouds
172,Saint-Philippe,RE,-21.3585,55.7679,64.22,61.11,84,15,11.01,light rain
174,New Norfolk,AU,-42.7826,147.0587,52.92,49.5,72,100,1.72,overcast clouds
175,Narsaq,GL,60.9167,-46.05,48.42,48.42,84,12,2.48,few clouds
177,Butaritari,KI,3.0707,172.7902,82.09,82.09,75,27,13.2,scattered clouds
178,Atuona,PF,-9.8,-139.0333,76.93,76.93,76,18,23.67,few clouds
179,Longyearbyen,SJ,78.2186,15.6401,46.24,46.24,71,75,9.22,broken clouds
180,Port Alfred,ZA,-33.5906,26.891,61.95,61.95,78,100,7.02,overcast clouds
181,Mala,PE,-12.6581,-76.6308,61.97,61.97,82,66,7.76,broken clouds
182,George Town,MY,5.4112,100.3354,84.88,79.95,91,20,2.3,few clouds
183,Albany,US,42.6001,-73.9662,75.16,68.23,53,2,8.32,clear sky
184,Hong Kong,HK,22.2855,114.1577,82.38,78.85,92,94,8.01,overcast clouds
185,Indramayu,ID,-6.3264,108.32,81.7,81.7,72,27,4.72,scattered clouds
186,Mataura,NZ,-46.1927,168.8643,44.47,44.47,59,80,4.25,broken clouds
187,Liwale,TZ,-9.7667,37.9333,60.82,60.82,95,45,2.46,scattered clouds
188,Sur,OM,22.5667,59.5289,88.92,88.92,58,100,5.77,overcast clouds
189,Xichang,CN,27.8964,102.2634,73.49,73.49,77,12,1.59,few clouds
190,Port Lincoln,AU,-34.7333,135.8667,56.86,56.86,71,34,19.35,scattered clouds
191,Jamestown,US,42.097,-79.2353,71.19,65.95,66,0,6.91,clear sky
192,Sehithwa,BW,-20.4667,22.7167,57.79,57.79,30,0,3.85,clear sky
193,Jining,CN,35.405,116.5814,85.41,85.41,73,38,7.23,scattered clouds
194,Khatanga,RU,71.9667,102.5,49.15,49.15,64,100,11.32,overcast clouds
196,Hilo,US,19.7297,-155.09,91.27,79.61,73,75,12.66,broken clouds
197,Zliten,LY,32.4674,14.5687,78.13,78.13,76,0,6.62,clear sky
198,Kiryat Gat,IL,31.61,34.7642,76.82,75.88,79,0,2.77,clear sky
199,Flinders,AU,-34.5833,150.8552,62.06,59.25,72,100,1.99,overcast clouds
200,Panama City,PA,8.9936,-79.5197,80.17,78.3,85,75,2.3,broken clouds
201,Sur,OM,22.5667,59.5289,88.92,88.92,58,100,5.77,overcast clouds
202,Vaini,TO,-21.2,-175.2,77.16,77.16,78,75,11.5,broken clouds
203,Elbistan,TR,38.2059,37.1983,70.54,70.54,50,0,2.95,clear sky
204,Guymon,US,36.6828,-101.4816,91.4,91.4,21,0,8.05,clear sky
205,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
207,Jamestown,US,42.097,-79.2353,71.19,65.95,66,0,6.91,clear sky
208,Rawson,AR,-43.3002,-65.1023,50.29,50.29,60,20,8.12,few clouds
209,Ambulu,ID,-8.345,113.6058,79.5,79.5,80,9,1.83,clear sky
210,Porto-Novo,BJ,6.4965,2.6036,74.23,74.23,89,100,6.42,overcast clouds
211,Busselton,AU,-33.65,115.3333,53.82,53.82,78,0,15.46,clear sky
212,Santa Maria,BR,-29.6842,-53.8069,51.1,51.1,93,0,4.61,clear sky
213,Torbay,CA,47.6666,-52.7314,58.26,56.17,95,100,8.05,light intensity drizzle
215,Hilo,US,19.7297,-155.09,91.27,79.61,73,75,12.66,broken clouds
216,Namatanai,PG,-3.6667,152.4333,83.39,83.39,71,94,10.71,light rain
217,Busselton,AU,-33.65,115.3333,53.82,53.82,78,0,15.46,clear sky
218,Kachug,RU,53.9606,105.8817,59.22,59.22,80,11,1.77,few clouds
219,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
220,Hong Kong,HK,22.2855,114.1577,82.38,78.85,92,94,8.01,overcast clouds
221,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
222,Butaritari,KI,3.0707,172.7902,82.09,82.09,75,27,13.2,scattered clouds
223,Busselton,AU,-33.65,115.3333,53.82,53.82,78,0,15.46,clear sky
224,Beroroha,MG,-21.6667,45.1667,62.24,62.24,66,0,6.73,clear sky
225,Cape Town,ZA,-33.9258,18.4232,54.27,51.35,87,75,9.22,moderate rain
226,Katsuura,JP,35.1333,140.3,86.02,86.02,76,6,20.74,clear sky
227,San Patricio,US,28.017,-97.5169,92.12,85.84,76,100,6.62,overcast clouds
228,Sitka,US,57.0531,-135.33,67.89,67.89,68,100,5.75,overcast clouds
229,Hastings,GB,50.8552,0.5729,71.53,60.4,80,0,11.63,clear sky
230,Puerto del Rosario,ES,28.5004,-13.8627,71.35,71.35,78,0,9.22,clear sky
231,Falun,SE,60.6036,15.626,64.81,56.21,89,7,3.42,clear sky
232,Bethel,US,41.3712,-73.414,79.63,72.57,69,100,4.52,overcast clouds
233,Dikson,RU,73.5069,80.5464,44.67,44.67,91,91,21.25,overcast clouds
234,Atuona,PF,-9.8,-139.0333,76.93,76.93,76,18,23.67,few clouds
236,Atuona,PF,-9.8,-139.0333,76.93,76.93,76,18,23.67,few clouds
238,Touros,BR,-5.1989,-35.4608,74.57,74.57,85,60,9.73,broken clouds
239,Ushuaia,AR,-54.8,-68.3,33.46,33.46,93,40,4.61,scattered clouds
240,Vaini,TO,-21.2,-175.2,77.16,77.16,78,75,11.5,broken clouds
241,Vaini,TO,-21.2,-175.2,77.16,77.16,78,75,11.5,broken clouds
242,Ribeira Grande,PT,38.5167,-28.7,74.95,74.95,78,100,11.12,overcast clouds
244,Nanchang,CN,28.6833,115.8833,92.34,92.34,49,16,8.84,few clouds
245,Puerto Cabezas,NI,14.0351,-83.3888,77.99,77.99,91,100,8.48,overcast clouds
246,Thompson,CA,55.7435,-97.8558,77.16,77.16,44,75,13.8,broken clouds
247,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,53.6,82,75,12.66,broken clouds
248,Ahipara,NZ,-35.1667,173.1667,55.81,55.81,59,10,13.71,clear sky
249,Svetlaya,RU,46.5389,138.3297,72.66,72.66,61,79,2.75,broken clouds
250,Changji,CN,44.0167,87.3167,75.99,75.99,60,0,6.71,clear sky
251,San Clemente,US,33.427,-117.612,98.96,70.99,54,0,7.0,clear sky
252,Airai,TL,-8.9266,125.4092,68.02,68.02,69,43,3.13,scattered clouds
253,Puerto Ayora,EC,-0.7393,-90.3518,68.56,68.56,100,100,7.0,light rain
254,Semey,KZ,50.4111,80.2275,59.22,59.22,100,14,4.47,mist
255,Constitución,CL,-35.3333,-72.4167,47.57,47.57,85,0,1.23,clear sky
256,Singarāyakonda,IN,15.25,80.0333,82.33,82.33,65,27,18.97,scattered clouds
257,Kasulu,TZ,-4.5767,30.1025,65.3,65.3,53,11,1.81,few clouds
258,Bredasdorp,ZA,-34.5322,20.0403,53.1,53.1,78,98,9.22,light rain
259,Gigmoto,PH,13.7796,124.39,85.19,85.19,71,100,1.81,overcast clouds
260,Ostrovnoy,RU,68.0531,39.5131,51.13,51.13,82,26,17.54,scattered clouds
261,Abu Samrah,SY,35.3029,37.1841,72.59,72.59,77,0,10.74,clear sky
262,Yellowknife,CA,62.456,-114.3525,64.92,64.92,42,40,9.22,scattered clouds
263,St. George's,GD,12.0564,-61.7485,82.08,82.08,83,20,0.0,few clouds
264,Auki,SB,-8.7676,160.7034,84.29,84.29,69,77,0.98,broken clouds
265,Qaanaaq,GL,77.484,-69.3632,37.96,37.96,74,100,6.89,overcast clouds
266,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
267,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
268,Ushuaia,AR,-54.8,-68.3,33.46,33.46,93,40,4.61,scattered clouds
269,Surab,PK,28.4914,66.2585,71.6,71.6,75,41,4.92,scattered clouds
270,Ilulissat,GL,69.2167,-51.1,41.02,41.02,93,100,3.44,overcast clouds
271,Sumbe,AO,-11.2061,13.8437,68.38,68.38,87,89,3.8,overcast clouds
272,Sitka,US,57.0531,-135.33,67.89,67.89,68,100,5.75,overcast clouds
273,The Valley,AI,18.217,-63.0578,82.81,82.09,76,100,17.11,overcast clouds
274,Busselton,AU,-33.65,115.3333,53.82,53.82,78,0,15.46,clear sky
275,Hobart,AU,-42.8794,147.3294,53.26,49.86,77,20,4.61,few clouds
276,Hofn,IS,64.2539,-15.2082,51.01,51.01,86,71,8.12,moderate rain
277,Eureka,US,40.8021,-124.1637,73.2,64.36,77,4,5.01,clear sky
278,Mataura,NZ,-46.1927,168.8643,44.47,44.47,59,80,4.25,broken clouds
279,Carnarvon,AU,-24.8667,113.6333,63.54,63.54,30,0,19.89,clear sky
280,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
282,Pangnirtung,CA,66.1451,-65.7125,49.59,49.59,71,48,2.1,scattered clouds
283,Kununurra,AU,-15.7667,128.7333,76.98,76.98,33,0,12.66,clear sky
284,Albany,US,42.6001,-73.9662,75.16,68.23,53,2,8.32,clear sky
285,Djibouti,DJ,11.5,42.5,81.54,81.54,58,100,6.91,overcast clouds
286,Somerset,US,40.5668,-74.5496,84.74,74.82,53,0,0.0,clear sky
288,Vaini,TO,-21.2,-175.2,77.16,77.16,78,75,11.5,broken clouds
289,Goundam,ML,16.4145,-3.6708,92.53,92.53,42,90,12.5,overcast clouds
290,Havre-St-Pierre,CA,50.2334,-63.5986,62.96,50.0,82,100,3.44,overcast clouds
291,Pisco,PE,-13.7,-76.2167,60.85,59.02,82,20,10.36,few clouds
292,Sambava,MG,-14.2667,50.1667,68.34,68.34,82,99,12.55,light rain
294,Bulgan,MN,48.8125,103.5347,61.36,61.36,75,7,1.81,clear sky
296,New Norfolk,AU,-42.7826,147.0587,52.92,49.5,72,100,1.72,overcast clouds
297,Ushuaia,AR,-54.8,-68.3,33.46,33.46,93,40,4.61,scattered clouds
298,Bathsheba,BB,13.2167,-59.5167,81.21,81.21,89,20,11.5,few clouds
299,Kampot,KH,10.6167,104.1833,78.85,78.85,80,100,4.12,overcast clouds
300,Daşoguz,TM,41.8363,59.9666,71.55,71.55,43,0,6.91,clear sky
301,Jerécuaro,MX,20.15,-100.5167,68.22,68.22,57,100,5.66,overcast clouds
302,Ponta do Sol,PT,32.6667,-17.1,70.72,67.12,75,20,0.92,few clouds
303,Shimoda,JP,34.6667,138.95,86.36,82.11,86,100,11.61,overcast clouds
304,Cape Town,ZA,-33.9258,18.4232,54.27,51.35,87,75,9.22,moderate rain
305,Cherskiy,RU,68.75,161.3,57.36,57.36,64,95,15.21,overcast clouds
306,Hasaki,JP,35.7333,140.8333,91.29,88.2,74,20,24.07,few clouds
307,Busselton,AU,-33.65,115.3333,53.82,53.82,78,0,15.46,clear sky
308,Banda Aceh,ID,5.5577,95.3222,80.87,80.87,76,98,11.41,overcast clouds
310,Longyearbyen,SJ,78.2186,15.6401,46.24,46.24,71,75,9.22,broken clouds
311,Cape Town,ZA,-33.9258,18.4232,54.27,51.35,87,75,9.22,moderate rain
312,Buchanan,LR,5.8808,-10.0467,75.52,75.52,86,92,10.85,overcast clouds
313,Bethel,US,41.3712,-73.414,79.63,72.57,69,100,4.52,overcast clouds
314,Barrow,US,71.2906,-156.7887,46.42,46.42,93,100,19.57,mist
315,Clyde River,CA,70.4692,-68.5914,44.83,44.83,87,40,2.3,scattered clouds
317,Longyearbyen,SJ,78.2186,15.6401,46.24,46.24,71,75,9.22,broken clouds
318,Rikitea,PF,-23.1203,-134.9692,73.24,73.24,69,32,20.92,light rain
319,Sinnamary,GF,5.3833,-52.95,79.11,79.11,80,60,6.58,broken clouds
320,Albany,US,42.6001,-73.9662,75.16,68.23,53,2,8.32,clear sky
321,Ushuaia,AR,-54.8,-68.3,33.46,33.46,93,40,4.61,scattered clouds
322,Kargasok,RU,59.0556,80.8572,54.84,54.84,67,11,4.83,few clouds
323,Palamós,ES,41.8484,3.1291,82.38,74.8,69,4,4.0,clear sky
324,Bluff,NZ,-46.6,168.3333,44.8,44.8,68,97,10.47,overcast clouds
325,Hermanus,ZA,-34.4187,19.2345,51.8,51.8,88,100,12.71,moderate rain
327,Norman Wells,CA,65.282,-126.8329,73.44,73.44,27,20,4.61,few clouds
328,Punta Arenas,CL,-53.15,-70.9167,33.91,33.12,75,75,9.22,broken clouds
330,Xichang,CN,27.8964,102.2634,73.49,73.49,77,12,1.59,few clouds
331,Carballo,ES,43.213,-8.691,67.42,59.77,89,54,1.32,broken clouds
332,Albany,US,42.6001,-73.9662,75.16,68.23,53,2,8.32,clear sky
333,Vila Franca do Campo,PT,37.7167,-25.4333,72.01,72.01,89,77,8.52,light rain
334,Ushuaia,AR,-54.8,-68.3,33.46,33.46,93,40,4.61,scattered clouds
335,Onega,RU,63.9061,38.1404,55.99,55.99,90,55,11.72,broken clouds
336,Cape Town,ZA,-33.9258,18.4232,54.27,51.35,87,75,9.22,moderate rain
337,Jamestown,US,42.097,-79.2353,71.19,65.95,66,0,6.91,clear sky
339,Plouzané,FR,48.3833,-4.6167,71.65,60.98,68,0,8.05,clear sky
340,Busselton,AU,-33.65,115.3333,53.82,53.82,78,0,15.46,clear sky
341,Hermanus,ZA,-34.4187,19.2345,51.8,51.8,88,100,12.71,moderate rain
342,Cape Town,ZA,-33.9258,18.4232,54.27,51.35,87,75,9.22,moderate rain
344,Albany,US,42.6001,-73.9662,75.16,68.23,53,2,8.32,clear sky
345,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,53.6,82,75,12.66,broken clouds
346,Athabasca,CA,54.7169,-113.2854,82.81,82.81,42,0,13.91,clear sky
347,Bahía Honda,CU,22.9036,-83.1592,79.52,79.52,83,50,9.53,light rain
348,Sabang,ID,5.8933,95.3214,81.84,81.84,74,100,16.89,overcast clouds
349,Beringovskiy,RU,63.05,179.3167,55.4,55.4,77,100,13.38,overcast clouds
350,Goderich,CA,43.7501,-81.7165,65.91,64.72,63,0,11.5,clear sky
351,Thompson,CA,55.7435,-97.8558,77.16,77.16,44,75,13.8,broken clouds
